Category,Brand,IG URL,Confirmed,Type,Website,Notes
other,neotat,https://www.instagram.com/neotat/,,,,,
other,neotat_official,https://www.instagram.com/neotat_official/,,,,,
other,new_tattoo_supply,https://www.instagram.com/new_tattoo_supply/,,,,,
other,newtattoo,https://www.instagram.com/newtattoo/,,,,,
other,nextgen_tattoo,https://www.instagram.com/nextgen_tattoo/,,,,,
other,nextgentattoosupply,https://www.instagram.com/nextgentattoosupply/,,,,,
other,north_tattoo_supply,https://www.instagram.com/north_tattoo_supply/,,,,,
other,northtattoo,https://www.instagram.com/northtattoo/,,,,,
other,one_tattoo_supply,https://www.instagram.com/one_tattoo_supply/,,,,,
other,onetattoo,https://www.instagram.com/onetattoo/,,,,,
other,onyx_tattoo_supply,https://www.instagram.com/onyx_tattoo_supply/,,,,,
general_supply,onyxtattoosupply,https://www.instagram.com/onyxtattoosupply/,,,,,
other,painful_pleasures,https://www.instagram.com/painful_pleasures/,,,,,
other,painfulpleasures,https://www.instagram.com/painfulpleasures/,,,,,
other,peach_tattoo,https://www.instagram.com/peach_tattoo/,,,,,
other,peachtattoosupplies,https://www.instagram.com/peachtattoosupplies/,,,,,
other,pen_machine_tattoo,https://www.instagram.com/pen_machine_tattoo/,,,,,
machine,pentattoo,https://www.instagram.com/pentattoo/,,,,,
other,pro_tattoo_supply,https://www.instagram.com/pro_tattoo_supply/,,,,,
other,protattoo,https://www.instagram.com/protattoo/,,,,,
other,radiant_colors_ink,https://www.instagram.com/radiant_colors_ink/,,,,,
ink,radiantcolorsink,https://www.instagram.com/radiantcolorsink/,,,,,
other,recoverytattoo,https://www.instagram.com/recoverytattoo/,,,,,
other,rotary_machine_tattoo,https://www.instagram.com/rotary_machine_tattoo/,,,,,
other,rotarytattoo,https://www.instagram.com/rotarytattoo/,,,,,
other,second_skin_tattoo,https://www.instagram.com/second_skin_tattoo/,,,,,
other,secondskin,https://www.instagram.com/secondskin/,,,,,
other,shanghai_tattoo,https://www.instagram.com/shanghai_tattoo/,,,,,
other,shanghaitattoopro,https://www.instagram.com/shanghaitattoopro/,,,,,
other,shenzheninkmaster,https://www.instagram.com/shenzheninkmaster/,,,,,
other,silverback_tattoo,https://www.instagram.com/silverback_tattoo/,,,,,
other,silverbacktattoo,https://www.instagram.com/silverbacktattoo/,,,,,
other,solid_ink_tattoo,https://www.instagram.com/solid_ink_tattoo/,,,,,
ink,solidinktattoo,https://www.instagram.com/solidinktattoo/,,,,,
other,solong_tattoo,https://www.instagram.com/solong_tattoo/,,,,,
other,solongtattoo,https://www.instagram.com/solongtattoo/,,,,,
other,south_tattoo_supply,https://www.instagram.com/south_tattoo_supply/,,,,,
other,southtattoo,https://www.instagram.com/southtattoo/,,,,,
other,starling_tattoo_supply,https://www.instagram.com/starling_tattoo_supply/,,,,,
other,starlingtattoo,https://www.instagram.com/starlingtattoo/,,,,,
other,stigma_tattoo,https://www.instagram.com/stigma_tattoo/,,,,,
machine,stigmarotary,https://www.instagram.com/stigmarotary/,,,,,
other,stigmatattoosupply,https://www.instagram.com/stigmatattoosupply/,,,,,
other,sun_tattoo_supply,https://www.instagram.com/sun_tattoo_supply/,,,,,
other,suntattoo,https://www.instagram.com/suntattoo/,,,,,
other,tatsoul,https://www.instagram.com/tatsoul/,,,,,
other,tatsoul_official,https://www.instagram.com/tatsoul_official/,,,,,
other,tattoo_aftercare,https://www.instagram.com/tattoo_aftercare/,,,,,
other,tattoo_center,https://www.instagram.com/tattoo_center/,,,,,
other,tattoo_goo,https://www.instagram.com/tattoo_goo/,,,,,
other,tattoo_healing,https://www.instagram.com/tattoo_healing/,,,,,
machine,tattoo_machine_shop,https://www.instagram.com/tattoo_machine_shop/,,,,,
other,tattoo_mart,https://www.instagram.com/tattoo_mart/,,,,,
other,tattoo_recovery,https://www.instagram.com/tattoo_recovery/,,,,,
other,tattoo_star,https://www.instagram.com/tattoo_star/,,,,,
other,tattoo_studio_supply,https://www.instagram.com/tattoo_studio_supply/,,,,,
other,tattoo_wholesale,https://www.instagram.com/tattoo_wholesale/,,,,,
other,tattoocenter,https://www.instagram.com/tattoocenter/,,,,,
other,tattoogear,https://www.instagram.com/tattoogear/,,,,,
other,tattoogoo,https://www.instagram.com/tattoogoo/,,,,,
other,tattoomachineshop,https://www.instagram.com/tattoomachineshop/,,,,,
other,tattoomart,https://www.instagram.com/tattoomart/,,,,,
other,tattooneedledragon,https://www.instagram.com/tattooneedledragon/,,,,,
other,tattoostar,https://www.instagram.com/tattoostar/,,,,,
general_supply,tattoostudiosupply,https://www.instagram.com/tattoostudiosupply/,,,,,
other,tattoosupply247,https://www.instagram.com/tattoosupply247/,,,,,
other,tattoosupply24_7,https://www.instagram.com/tattoosupply24_7/,,,,,
other,tattoowholesale,https://www.instagram.com/tattoowholesale/,,,,,
other,tattooworld,https://www.instagram.com/tattooworld/,,,,,
other,tattooworld_supply,https://www.instagram.com/tattooworld_supply/,,,,,
other,tianjin_tattoo,https://www.instagram.com/tianjin_tattoo/,,,,,
other,tianjintattoo,https://www.instagram.com/tianjintattoo/,,,,,
other,tommys_supplies,https://www.instagram.com/tommys_supplies/,,,,,
other,tommys_tattoo_supply,https://www.instagram.com/tommys_tattoo_supply/,,,,,
other,top_tattoo_supply,https://www.instagram.com/top_tattoo_supply/,,,,,
other,toptattoo,https://www.instagram.com/toptattoo/,,,,,
other,true_tattoo_supply,https://www.instagram.com/true_tattoo_supply/,,,,,
general_supply,truetattoosupply,https://www.instagram.com/truetattoosupply/,,,,,
other,valhaila_jr,https://www.instagram.com/valhaila_jr/,,,,,
other,valhailajr,https://www.instagram.com/valhailajr/,,,,,
other,vetus_tattoo,https://www.instagram.com/vetus_tattoo/,,,,,
other,vetustattoo,https://www.instagram.com/vetustattoo/,,,,,
ink,vicious_ink,https://www.instagram.com/vicious_ink/,,,,,
ink,viciousink,https://www.instagram.com/viciousink/,,,,,
other,wand_tattoo,https://www.instagram.com/wand_tattoo/,,,,,
other,wandtattoo,https://www.instagram.com/wandtattoo/,,,,,
other,warthog_tattoo_supply,https://www.instagram.com/warthog_tattoo_supply/,,,,,
other,warthogtattoo,https://www.instagram.com/warthogtattoo/,,,,,
ink,wicked_ink,https://www.instagram.com/wicked_ink/,,,,,
ink,wickedink,https://www.instagram.com/wickedink/,,,,,
other,workhorse_irons,https://www.instagram.com/workhorse_irons/,,,,,
machine,workhorseirons,https://www.instagram.com/workhorseirons/,,,,,
other,worldfamous_tattoo,https://www.instagram.com/worldfamous_tattoo/,,,,,
ink,worldfamousink,https://www.instagram.com/worldfamousink/,,,,,
other,worldfamoustattoosupply,https://www.instagram.com/worldfamoustattoosupply/,,,,,
other,wuhan_tattoo_supply,https://www.instagram.com/wuhan_tattoo_supply/,,,,,
other,wuhantattoo,https://www.instagram.com/wuhantattoo/,,,,,
other,young_tattoo_supply,https://www.instagram.com/young_tattoo_supply/,,,,,
other,youngtatt,https://www.instagram.com/youngtatt/,,,,,
other,zeus_tattoo_machines,https://www.instagram.com/zeus_tattoo_machines/,,,,,
other,zeustattoo,https://www.instagram.com/zeustattoo/,,,,,
other,zoray_tattoo,https://www.instagram.com/zoray_tattoo/,,,,,
other,zoraypt,https://www.instagram.com/zoraypt/,,,,,
