Shop Name,Reviews,Address,Phone,Instagram,Facebook,TikTok,Website,City,State,Country,Email,Rating,Scraped At
Lombard Street Tattoo,216,"8937 N Lombard St, Portland, OR 97203",503) 719-6780,https://www.instagram.com/lombardstreettattoo,N/A,N/A,http://www.lombardstreettattoo.com,Portland,OR,USA,callaghantattoo@gmail.com; info@lombardstreettattoo.com; madisonmakestattoos@gmail.com; marlena.yokel@gmail.com; nicework@jessipreston.com; onatattoosyou@gmail.com; telleztattoo@gmail.com; user@domain.com; zanegreytattoo@gmail.com,4.9,2026-06-15 03:10:51
Atlas Tattoo Studio,297,"4543 N Albina Ave, Portland, OR 97217",503) 281-7499,https://www.instagram.com/atlastattoo,N/A,https://www.tiktok.com/@jameslorono_,http://www.atlastattoo.com,Portland,OR,USA,user@domain.com,4.8,2026-06-15 03:12:18
Ritual Arts,456,"2005 NE 42nd Ave, Portland, OR 97213",503) 384-2551,http://instagram.com/ritualarts_pdx,N/A,https://www.tiktok.com/@riconasty,https://www.ritualartspdx.com,Portland,OR,USA,ritualartspdx@gmail.com; ritualartstattoo@gmail.com; user@domain.com,4.9,2026-06-15 03:14:03
Snowwolf Ink Tattoo Studio,87,"1405 SW 11th Ave, Portland, OR 97201",503) 440-7505,https://www.instagram.com/snowwolfinktattoostudio,N/A,N/A,https://snowwolfink.com,Portland,OR,USA,snowwolfink77@gmail.com; user@domain.com,5.0,2026-06-15 03:15:40
Oddball Tattoo Studios,106,"2716 SE 21st Ave, Portland, OR 97202",503) 231-1344,https://www.instagram.com/oddballtattoo,https://www.facebook.com/oddballtattoo,https://www.tiktok.com/@inkedabroad,http://www.oddballstudios.com,Portland,OR,USA,oddballtattooportland@gmail.com,4.8,2026-06-15 03:16:59
Wonderland Tattoos,82,"7020 SE 52nd Ave, Portland, OR 97206",971) 254-4352,http://instagram.com/wonderlandpdx,N/A,https://www.tiktok.com/@inky.gal,http://www.wonderlandpdx.com,Portland,OR,USA,user@domain.com; wonderlandtattoopdx@gmail.com,4.8,2026-06-15 03:18:22
Passin’ Thru Tattoo,83,"1016 NW 17th Ave, Portland, OR 97209",503) 764-9407,http://instagram.com/passinthrupdx,N/A,https://www.tiktok.com/@scm_ink,http://instagram.com/passinthrupdx,Portland,OR,USA,N/A,0,2026-06-15 03:19:48
Wolf and Shadow Tattoo Collective,45,"2236 NE Broadway, Portland, OR 97232",503) 719-9762,https://www.instagram.com/wolfandshadowpdx,https://www.facebook.com/DiegoTattooGallery,N/A,https://wolfandshadowtattoos.com/ne-portland-tattoo-shop,Portland,OR,USA,N/A,4.9,2026-06-15 03:21:26
Rosewater Tattoo,163,"2915 NE Broadway, Portland, OR 97232",N/A,https://instagram.com/rosewatertattoo,https://www.facebook.com/rosewatertattoo,N/A,http://www.rosewatertattoo.com,Portland,OR,USA,info@rosewatertattoo.com,4.9,2026-06-15 03:23:36
Esoteric Tattoo,184,"922 N Killingsworth St suite 1-c, Portland, OR 97217",503) 474-7386,https://www.instagram.com/esoterictattoo,https://www.facebook.com/groups,https://www.tiktok.com/@andreapellerone,https://www.esoterictattooart.com,Portland,OR,USA,esoterictattooart@gmail.com,4.8,2026-06-15 03:24:54
Plush Tattoo & Intuitive Arts,280,"732 NW 23rd Ave, Portland, OR 97210",808) 426-0341,http://instagram.com/plush.pdx,N/A,https://www.tiktok.com/@Plush.pdx,http://plushtattoo.me,Portland,OR,USA,plushbyamber@gmail.com; user@domain.com,5.0,2026-06-15 03:26:47
99 TATTOO,283,"904 NW Kings Blvd, Corvallis, OR 97330",541) 777-9972,https://www.instagram.com/_99tattoo,N/A,https://www.tiktok.com/@tattoounleashed,https://www.instagram.com/_99tattoo,Adair Village,OR,USA,N/A,4.9,2026-06-15 17:52:31
Sacred Art Tattoo LLC,134,"1425 NW Monroe Ave # C, Corvallis, OR 97330",541) 752-7463,https://www.instagram.com/sacredartcorvallis,https://www.facebook.com/sacredartcorvallis,https://www.tiktok.com/@sacredarttattoo,N/A,Adair Village,OR,USA,N/A,4.5,2026-06-15 17:54:19
The All In Tattoo Company,114,"275 Pacific Blvd SW #102, Albany, OR 97321",503) 884-5011,https://www.instagram.com/theallintattooco,https://www.facebook.com/theallintattooco,https://www.tiktok.com/@allintattooco21,https://www.facebook.com/theallintattooco,Adair Village,OR,USA,allintattooco@gmail.com,4.9,2026-06-15 17:56:07
High Priestess Piercing & Tattoo,465,"2475 NW Monroe Ave, Corvallis, OR 97330",541) 738-7711,https://www.instagram.com/beststudioever,https://www.facebook.com/HighPriestess.HQ,https://www.tiktok.com/@beststudioever,https://www.beststudioever.com/corvallis,Adair Village,OR,USA,clashflashknox@gmail.com,4.4,2026-06-15 17:58:56
Cascade Body Studio @ Kontraband,80,"121 SW 4th St, Corvallis, OR 97333",360) 607-8655,https://www.instagram.com/tattoosbynatalie,https://www.facebook.com/cascadebodystudio,https://www.tiktok.com/@michael_sgoons_tattoo,http://tattoosbynataliecbs.com,Adair Village,OR,USA,hi@mystore.com,4.9,2026-06-15 18:01:13
Storylines Ink Parlor-Corvallis,15,"340 SW 2nd St Ste 1, Corvallis, OR 97333",661) 474-1383,https://www.instagram.com/storylinesinkparlor,https://www.facebook.com/storylineinktattoo,https://www.tiktok.com/@eganjames81,https://storylinesinkparlor.com,Adair Village,OR,USA,N/A,5.0,2026-06-15 18:02:53
Wildcat Electric Tattoo,25,"1333 Main St, Philomath, OR 97370",541) 286-5550,https://www.instagram.com/wildcat_electric_tattoo,https://www.facebook.com/Wildcat.Ink,https://www.tiktok.com/@donebyself,https://form.jotform.com/250055512304140,Adair Village,OR,USA,email@yahoo.com; example@example.com,5.0,2026-06-15 18:04:43
Limitless Tattoo,67,"251 Pacific Blvd SW, Albany, OR 97321",541) 220-3251,https://www.instagram.com/p,http://facebook.com/Limitlesstattoo,https://www.tiktok.com/@edwardkso,http://facebook.com/Limitlesstattoo,Adair Village,OR,USA,N/A,4.8,2026-06-15 18:11:17
Locura Tattoo,9,"408 SW Monroe Avenue Mezzanine Level Benton Plaza, Suite M250, Corvallis, OR 97333",541) 257-8656,https://www.instagram.com/i.ta.tu,N/A,N/A,https://www.instagram.com/i.ta.tu,Adair Village,OR,USA,N/A,5.0,2026-06-15 18:15:52
Tourniquet Tattoo,65,"260 SW Ferry St, Albany, OR 97321",541) 281-3390,N/A,https://www.facebook.com/share,https://www.tiktok.com/@zachbryanarchive,https://www.facebook.com/share/UaBotpaY2WtfYE1V,Adair Village,OR,USA,N/A,5.0,2026-06-15 18:20:18
Art of Tattoo,3,"207 SW 2nd St, Corvallis, OR 97333",620) 655-0380,N/A,N/A,https://www.tiktok.com/@artforthewanderer,https://usacommerx.top/details/art-of-tattoo-ChIJU_K,Adair Village,OR,USA,mapdetailscom@gmail.com,5.0,2026-06-15 18:23:47
Stephanie Renee Tattoo,9,"251 Pacific Blvd SW, Albany, OR 97321",541) 971-2047,https://www.instagram.com/tattooartist_stephanierenee,https://www.facebook.com/groups,https://www.tiktok.com/@reneeorlandotattoo,https://sites.google.com/view/tattooartiststephanierenee/home,Adair Village,OR,USA,N/A,5.0,2026-06-15 18:25:41
Wicked Ink & Esthetics,20,"2288 Pacific Blvd SE, Albany, OR 97321",541) 223-3853,https://www.instagram.com/wickedinkartistry,https://www.facebook.com/groups,https://www.tiktok.com/@justkennyt,N/A,Adair Village,OR,USA,N/A,5.0,2026-06-15 18:28:04
Curious Crow Tattoo,9,"252 SW Madison Ave #120, Corvallis, OR 97333",541) 250-2770,https://www.instagram.com/curiouscrowtattoollc,N/A,https://www.tiktok.com/@elfeeart,http://www.curiouscrowtattoo.com,Adair Village,OR,USA,CuriousCrowTattoo41@gmail.com,5.0,2026-06-15 18:30:41
BRAE Tattoo & Aesthetics,8,"425 SW Madison Ave, Corvallis, OR 97333",N/A,N/A,N/A,N/A,https://www.braetattooandaesthetics.com,Adair Village,OR,USA,N/A,4.5,2026-06-15 18:33:14
Face and Body by Jillian,32,"Private studio in, NW North Albany Rd, Albany, OR 97321",503) 812-9135,N/A,https://www.facebook.com/faceandbodybyjr,N/A,https://www.facebook.com/faceandbodybyjr,Adair Village,OR,USA,N/A,4.8,2026-06-15 18:37:25
Michaels,861,"1550 NW 9th St, Market Place #106, Corvallis, OR 97330",541) 738-0109,https://www.instagram.com/michaelsstores,https://www.facebook.com/Michaels,https://www.tiktok.com/@michaelscraftstore,https://locations.michaels.com/OR/Corvallis/8743,Adair Village,OR,USA,michaels@michaels.com,4.2,2026-06-15 18:41:00
The All In Tattoo Company,114,"275 Pacific Blvd SW #102, Albany, OR 97321",503) 884-5011,N/A,https://www.facebook.com/theallintattooco,N/A,https://www.facebook.com/theallintattooco,Adams,OR,USA,N/A,4.9,2026-06-15 18:46:10
Wildcat Electric Tattoo,25,"1333 Main St, Philomath, OR 97370",541) 286-5550,https://www.instagram.com/wildcat_electric_tattoo,https://www.facebook.com/Wildcat.Ink,https://www.tiktok.com/@donebyself,https://form.jotform.com/250055512304140,Adams,OR,USA,N/A,5.0,2026-06-15 18:48:33
Blue Lace Body Art,17,"92573 River Rd, Junction City, OR 97448",N/A,https://www.instagram.com/emilydianetattoos,https://www.facebook.com/bluelacebodyart,https://www.tiktok.com/@spenserbower,N/A,Adams,OR,USA,N/A,4.8,2026-06-15 18:49:50
Body Art by Melody,28,"92573, 92573 River Rd, Junction City, OR 97448",N/A,N/A,N/A,N/A,http://bodyartbymelody.com,Adams,OR,USA,N/A,5.0,2026-06-15 18:52:02
Darkest Days Tattoo,129,"1107 SW Coast Hwy, Newport, OR 97365",541) 961-4587,https://www.instagram.com/darkestdaystattoo,http://www.facebook.com/wix,https://www.tiktok.com/@destroydraven,https://www.darkestdaystattoo.ink,Adams,OR,USA,N/A,4.9,2026-06-15 18:53:43
Black Forest Tattoo Company,97,"149 N 5th St, Springfield, OR 97477",458) 250-5520,https://www.instagram.com/valson_ink,https://www.facebook.com/share.php,https://www.tiktok.com/@blackforesttat2co,http://www.blackforesttat2co.com,Adams,OR,USA,blackforesttattoocompany@gmail.com; dainieljaytattoo@gmail.com; jakeovertime@gmail.com,5.0,2026-06-15 18:55:52
Subdermal Art Collective Tattoo and Piercing Eugene,200,"341 High St, Eugene, OR 97401",541) 654-5079,https://www.instagram.com/subdermalartcollective,https://www.facebook.com/subdemalartcollective,https://www.tiktok.com/@subdermalartcollective,http://www.subdermalartcollective.com,Adams,OR,USA,artofirabartlett@gmail.com; neartheneedle@gmail.com; piercingsbytrevorthomas@gmail.com; subdermalartcollective@gmail.com; subdermalartcollectrive@gmail.com; unbrokeninkbysiera@gmail.com; www.subdermalartcollective@gmail.com,4.9,2026-06-15 18:57:11
Anchored Ink Tattoo & Piercing by SPLAT LLC,387,"107 W Q St Ste 3, Springfield, OR 97477",541) 790-9566,N/A,N/A,N/A,https://www.anchoredinktattoostudio.com,Adams,OR,USA,N/A,4.9,2026-06-15 18:59:36
Black Label Tattoo,183,"2911 W 11th Ave B, Eugene, OR 97402",541) 393-6807,N/A,N/A,N/A,http://blacklabeltattoo.net,Adams,OR,USA,N/A,4.3,2026-06-15 19:02:28
Viking Tattoo Studio,22,"341 W 6th Ave, Junction City, OR 97448",541) 234-2192,https://www.instagram.com/thevikingtattoostudio,https://www.facebook.com/vikingtattoostudiooregon,https://www.tiktok.com/@inkd.inc,http://vikingtattoostudio.com,Adams,OR,USA,TheVikingTattooStudio@yahoo.com,5.0,2026-06-15 19:03:52
Myth Tattoo,72,"1364 Oak St, Eugene, OR 97401",541) 505-9290,https://www.instagram.com/myth_tattoo_studio,http://www.facebook.com/mythtattoos,https://www.tiktok.com/@inkmastertv,http://www.facebook.com/mythtattoos,Adams,OR,USA,N/A,4.9,2026-06-15 19:05:58
RexDoesTattoos,34,"1675 W 11th Ave, Eugene, OR 97402",541) 844-4266,https://www.instagram.com/rexdoestattoos,N/A,N/A,http://rexdoestattoos.com,Adams,OR,USA,obbxvat@erkqbrfgnggbbf.pbz,4.8,2026-06-15 19:09:19
Ink Rich Tattoo,41,"1210 S Main St, Lebanon, OR 97355",541) 570-3370,N/A,N/A,N/A,N/A,Adams,OR,USA,N/A,5.0,2026-06-15 19:12:33
Wild Rose Tattoo,99,"2849 Oak St, Eugene, OR 97405",N/A,https://www.instagram.com/wildroseeugene,N/A,https://www.tiktok.com/@thatonetattooartist,http://wildrosetattoo.com,Adams,OR,USA,user@domain.com,4.9,2026-06-15 19:19:16
Get Ink Tattoo llc,49,"18 Hayden Bridge Way, Springfield, OR 97477",541) 743-5001,N/A,N/A,N/A,N/A,Adams,OR,USA,N/A,4.8,2026-06-15 19:24:56
Oracle Tattoo & Spa,117,"740 Main St, Springfield, OR 97477",541) 359-5259,N/A,N/A,N/A,https://oracletattoospa.com,Adams,OR,USA,N/A,5.0,2026-06-15 19:28:36
Iron Heart Tattoo,177,"1374 Willamette St #7, Eugene, OR 97401",541) 961-0490,N/A,N/A,N/A,https://ironhearttattooeugene.com,Adams,OR,USA,N/A,5.0,2026-06-15 19:33:00
Heartless and Hopeless Tattoo,92,"329 Main St, Springfield, OR 97477",541) 393-6697,https://www.instagram.com/heartlessandhopelesstattoo,https://www.facebook.com/heartlessandhopelesstattoo,https://www.tiktok.com/@chino_tats,N/A,Adams,OR,USA,N/A,5.0,2026-06-15 19:36:37
Oregon INK Studios,18,"2490 Willamette St #2, Eugene, OR 97405",N/A,N/A,N/A,N/A,N/A,Adams,OR,USA,N/A,5.0,2026-06-15 19:39:25
Reborn Ink,26,"1037 OR-99, Cottage Grove, OR 97424",541) 658-5107,https://www.instagram.com/reborn.ink,https://www.facebook.com/rebornink78,https://www.tiktok.com/@inkcroalpha,https://www.facebook.com/rebornink78,Adams,OR,USA,Reborninkt@hotmail.com; reborninkt@hotmail.com,4.8,2026-06-15 19:43:02
Moon Maiden Tattoo,29,"275 W 8th Ave, Eugene, OR 97401",N/A,N/A,N/A,N/A,http://moonmaidentattoo.com,Adams,OR,USA,N/A,4.9,2026-06-15 19:49:30
Something Beautiful Tattoo,102,"1212 S A St, Springfield, OR 97477",541) 778-9623,N/A,http://facebook.com/RobbieMillsTattoo,N/A,http://facebook.com/RobbieMillsTattoo,Adams,OR,USA,N/A,4.8,2026-06-15 19:52:41
Black Brush Tattoo,104,"1849 Willamette St #100, Eugene, OR 97401",458) 275-8211,N/A,N/A,N/A,http://www.blackbrushtattoo.com,Adams,OR,USA,N/A,4.8,2026-06-15 19:54:53
White Rabbit Tattoo,39,"539 E 11th Ave, Eugene, OR 97401",541) 653-8903,https://www.instagram.com/whiterabbittattoostudio,https://www.facebook.com/whiterabbittattoo,https://www.tiktok.com/@morgan.york,http://www.whiterabbittattoo.net,Adams,OR,USA,N/A,4.8,2026-06-15 19:59:28
Tattoo OM,27,"1695 Willamette St, Eugene, OR 97401",541) 654-8106,N/A,N/A,N/A,http://tattoo-om.com,Adams,OR,USA,N/A,5.0,2026-06-15 20:01:34
Wicked Sister Tattoo,50,"1325 W 7th Ave, Eugene, OR 97402",541) 915-8858,N/A,N/A,N/A,N/A,Adams,OR,USA,N/A,4.9,2026-06-15 20:04:04
Gilded Heart Tattoo,99,"211 E 1st St, Newberg, OR 97132",971) 832-8002,https://www.instagram.com/gildedhearttattoo,N/A,N/A,https://www.gildedhearttattoo.com,Arlington,OR,USA,Tat2clan@yahoo.com; tat2clan@yahoo.com; user@domain.com,4.5,2026-06-15 20:12:40
Dagger Tattoo,48,"21 S 2nd St, Ashland, OR 97520",458) 299-6911,https://www.instagram.com/p,https://www.facebook.com/rosedaggertattoo,https://www.tiktok.com/@coltonjamesphillips,https://daggertattoo.my.canva.site,Ashland,OR,USA,N/A,5.0,2026-06-15 20:21:32
Housecat Tattoo,3,"422 Bridge St, Ashland, OR 97520",N/A,https://instagram.com/housecat.tattoo,https://www.facebook.com/groups,https://www.tiktok.com/@angelique_grimm_tattoo,https://instagram.com/housecat.tattoo,Ashland,OR,USA,N/A,5.0,2026-06-15 20:22:52
NuTattoo Aftercare Products,33,"248 N 2nd St Suite B, Ashland, OR 97520",541) 482-8288,N/A,N/A,N/A,N/A,Ashland,OR,USA,N/A,4.8,2026-06-15 20:24:59
Sink-Ink,61,"267 E Ida St, Stayton, OR 97383",503) 559-9003,https://instagram.com/mac_missa,https://facebook.com/SinkInkTattoo,https://www.tiktok.com/@sadie.sinkofficial,http://www.sink-ink.com,Aumsville,OR,USA,bookingsinkink@gmail.com,4.8,2026-06-15 20:31:14
Roots Deep Tattoo,151,"2017 25th St SE, Salem, OR 97302",503) 385-1005,https://www.instagram.com/rootsdeeptattoo,https://www.facebook.com/RootsDeepTattoo,https://www.tiktok.com/@psychara_,https://www.rootsdeeptattoo.com,Aumsville,OR,USA,N/A,4.8,2026-06-15 20:33:01
Fortunes Favor Tattoo Studio,19,"1330 12th St SE, Salem, OR 97302",971) 208-2212,N/A,N/A,N/A,N/A,Aumsville,OR,USA,N/A,5.0,2026-06-15 20:34:34
Inspired Ink Tattoo Studio,34,"450 OR-42, Coquille, OR 97423",N/A,https://www.instagram.com/inspiredinkcoquille,https://www.facebook.com/p,https://www.tiktok.com/@inkslingertattoostudio,http://inspiredinkcoquille.com,Bandon,OR,USA,N/A,4.9,2026-06-15 20:38:28
Arcane Design Tattoo Collective,95,"163 E Market Ave, Coos Bay, OR 97420",541) 297-5857,N/A,N/A,N/A,N/A,Bandon,OR,USA,N/A,4.9,2026-06-15 20:40:03
Beloved Tattoo,8,"1917 Court Ave, Baker City, OR 97814",N/A,N/A,N/A,N/A,http://beloved-tattoo15.square.site,Bandon,OR,USA,N/A,5.0,2026-06-15 20:43:08
MTNTOP TATTOO,33,"402 Garibaldi Ave, Garibaldi, OR 97118",503) 812-7068,https://instagram.com/mtntoptattoo,N/A,https://www.tiktok.com/@tattales,https://instagram.com/mtntoptattoo,Bonanza,OR,USA,N/A,4.9,2026-06-15 20:53:21
Tats by M,31,"36315 N Hwy 101 Cabin 2, Nehalem, OR 97131",503) 338-8156,https://www.instagram.com/tats.bymaisie,https://www.facebook.com/groups,https://www.tiktok.com/@almightyam.ink,https://tatsbym.square.site,Bonanza,OR,USA,ats.bym@gmail.com; hi@mystore.com,0,2026-06-15 20:55:08
Salty Toad Body Art,31,"1010 3rd Ave Suite B, Seaside, OR 97138",503) 440-3003,http://instagram.com/saltytoadbodyart,N/A,https://www.tiktok.com/@bicoastalchaos,http://www.angrytoadsucks.com,Bonanza,OR,USA,user@domain.com,5.0,2026-06-15 20:56:15
Boymamaink,1,"412 Nw industrial park way #2, Toledo, OR 97391",503) 995-2009,https://www.instagram.com/boymamaink,https://www.facebook.com/p,https://www.tiktok.com/en,N/A,Bonanza,OR,USA,N/A,5.0,2026-06-15 20:57:08
Against the Tides,44,"550 Broadway St Unit B, Seaside, OR 97138",503) 717-5058,https://www.instagram.com/p,https://www.facebook.com/usatodaysports,https://www.tiktok.com/en,N/A,Bonanza,OR,USA,N/A,0,2026-06-15 20:58:14
Electric Quill Tattoo & Piercing,54,"35890 7th St, Nehalem, OR 97131",971) 324-0300,https://www.instagram.com/electricquilltattoo,N/A,https://www.tiktok.com/@ryanblackwelltattoos,https://electricquilltattoos.com,Bonanza,OR,USA,amkryukov@gmail.com; electricquilltattoo@gmail.com; jonpinhorn.typedesign@gmail.com,5.0,2026-06-15 20:59:38
Toth Art Collective,39,"1816 3rd St, Tillamook, OR 97141",541) 207-7477,https://www.instagram.com/cameltoth,https://www.facebook.com/MikeTothArtCollective,https://www.tiktok.com/@_royal_art_collective_,N/A,Bonanza,OR,USA,N/A,4.7,2026-06-15 21:00:32
The Astoria Piercing Studio by Salty Toad,14,"249 14th St #5, Astoria, OR 97103",503) 440-5257,http://instagram.com/saltytoadbodyart,N/A,https://www.tiktok.com/@delastoryofficial,https://angrytoadsucks.com,Bonanza,OR,USA,user@domain.com,4.9,2026-06-15 21:01:46
Elysian tattoo studio,52,"210 S Spring St, Klamath Falls, OR 97601",541) 892-8800,https://www.instagram.com/elysian_tattoo_gallery,https://www.facebook.com/p,https://www.tiktok.com/@kaashmoney_8,N/A,Bonanza,OR,USA,N/A,0,2026-06-15 21:03:06
Suite D Tattoo,3,"35170 Brooten Rd Suite D, Pacific City, OR 97135",541) 921-1935,https://www.instagram.com/p,https://www.facebook.com/SuiteDTattooPC,https://www.tiktok.com/@katvond,http://www.suitedtattoo.com,Bonanza,OR,USA,N/A,5.0,2026-06-15 21:04:15
Back40Tattoo,264,"901 Brutscher St suite 209, Newberg, OR 97132",503) 759-6224,https://www.instagram.com/tiktok,https://www.facebook.com/Back40Tattoo,https://www.tiktok.com/en,http://back40tattoo.com,Bonanza,OR,USA,Back40tattoo@gmail.com; back40tattoo@gmail.com,4.8,2026-06-15 21:05:33
Fortunes Favor Tattoo Studio,19,"1330 12th St SE, Salem, OR 97302",971) 208-2212,https://www.instagram.com/cspleasant,https://www.facebook.com/p,https://www.tiktok.com/@tattoosbythea,N/A,Bonanza,OR,USA,N/A,5.0,2026-06-15 21:06:36
Five Star Henna,82,"1151 S Irvine Pl, Seaside, OR 97138",541) 220-8285,https://www.instagram.com/fivestarhenna,https://www.facebook.com/fivestarhenna,https://www.tiktok.com/@hennaart_co,N/A,Bonanza,OR,USA,N/A,4.4,2026-06-15 21:07:35
Lucky Dog Tattoo,104,"260 S Roosevelt Dr, Seaside, OR 97138",503) 738-8220,N/A,https://www.facebook.com/LuckyDogTattooSeaside,https://www.tiktok.com/@mothershipsg,https://m.facebook.com/LuckyDogTattooSeaside,Bonanza,OR,USA,N/A,4.6,2026-06-15 21:09:05
String Of Hearts Tattoo,28,"116 Depot St, La Grande, OR 97850",541) 962-9408,N/A,N/A,https://www.tiktok.com/@martianartstattoo,https://www.facebook.com/profile.php,Bonanza,OR,USA,N/A,4.7,2026-06-15 21:10:22
Anchored Ink Tattoo & Piercing by SPLAT LLC,387,"107 W Q St Ste 3, Springfield, OR 97477",541) 790-9566,https://www.instagram.com/anchoredinktattoo,https://www.facebook.com/AnchoredInkEugene,N/A,https://www.anchoredinktattoostudio.com,Bonanza,OR,USA,smushstone@gmail.com,0,2026-06-15 21:12:00
Sea Serpent Saloon,26,"232 NW Coast St, Newport, OR 97365",N/A,https://instagram.com/seaserpentsaloon,http://www.facebook.com/danamelissadixon,https://www.tiktok.com/@seaserpentsaloon,http://www.seaserpentsaloon.com,Bonanza,OR,USA,seaserpentsaloon@gmail.com,4.7,2026-06-15 21:13:25
Hell Bent Tattoo,27,"330 OR-99 Ste E, Cottage Grove, OR 97424",541) 357-9818,https://www.instagram.com/hellbent.tattoo,https://www.facebook.com/p,https://www.tiktok.com/@hellbent_tattoo,https://www.bratinks.com,Bonanza,OR,USA,N/A,0,2026-06-15 21:14:41
Reborn Ink,26,"1037 OR-99, Cottage Grove, OR 97424",541) 658-5107,https://www.instagram.com/reborn.ink,https://www.facebook.com/rebornink78,https://www.tiktok.com/@ink.reborn,https://www.facebook.com/rebornink78,Bonanza,OR,USA,Reborninkt@hotmail.com; reborninkt@hotmail.com,4.8,2026-06-15 21:16:19
Leaf & Lily Tattoo,26,"106 Depot St, Rogue River, OR 97537",N/A,https://www.instagram.com/jaimebryn,https://www.facebook.com/JaimeBrynArt,https://www.tiktok.com/@2gungomes,http://leafandlily.ink,Bonanza,OR,USA,N/A,0,2026-06-15 21:17:50
Sweet Home Tattoo,23,"1228 Main St, Sweet Home, OR 97386",503) 984-1576,https://www.instagram.com/sweethometattooshop,https://www.facebook.com/sweethometattooshop,https://www.tiktok.com/@wildeblumetattoo,N/A,Bonanza,OR,USA,N/A,0,2026-06-15 21:19:09
Wicked Ink Tattoo,3,"185 SW Hwy 101, Waldport, OR 97394",541) 538-1370,https://www.instagram.com/risleytallon,N/A,https://www.tiktok.com/@wickedink52241,https://www.instagram.com/risleytallon,Bonanza,OR,USA,N/A,5.0,2026-06-15 21:20:28
Fallen Cherub Tattoo Co.,13,"403 W 1st Ave Suite 1, Albany, OR 97321",541) 979-4660,https://www.instagram.com/fallencherubtattoo,https://www.facebook.com/share,https://www.tiktok.com/@dallaslovelist,https://www.facebook.com/share/15o9NtpH5C,Bonanza,OR,USA,Fallencherubtattoo@gmail.com; fallencherubtattoo@gmail.com,0,2026-06-15 21:22:02
