route,dir,cluster,file,title,h1,words,has_faq,has_schema
/terms,/,(未归类),src/pages/terms.astro,,Terms of Service,90,,
/alternatives/best-free-tattoo-booking-software,/alternatives,(未归类),src/pages/alternatives/best-free-tattoo-booking-software.astro,,Best Free Tattoo Booking Software,315,,
/alternatives/tattoo-studio-pro-alternatives,/alternatives,(未归类),src/pages/alternatives/tattoo-studio-pro-alternatives.astro,,Tattoo Studio Pro Alternatives,328,,
/blog,/blog,color,src/pages/blog/index.astro,,InkFlow Blog,132,,Y
/blog/how-to-digitize-tattoo-waivers,/blog,(未归类),src/pages/blog/how-to-digitize-tattoo-waivers.astro,,How to Digitize Tattoo Waivers in 2026,1198,Y,Y
/blog/multi-artist-commission-tracking,/blog,(未归类),src/pages/blog/multi-artist-commission-tracking.astro,,Multi-Artist Commission Tracking Explained,1069,Y,Y
/blog/reduce-no-shows-deposit-booking,/blog,(未归类),src/pages/blog/reduce-no-shows-deposit-booking.astro,,How to Reduce No-Shows in Your Tattoo Studio,1113,Y,Y
/blog/tattoo-aftercare-automation,/blog,aftercare,src/pages/blog/tattoo-aftercare-automation.astro,,Tattoo Aftercare Automation: The Complete Guide for Studios,1538,Y,Y
/blog/tattoo-aftercare-email-automation,/blog,aftercare,src/pages/blog/tattoo-aftercare-email-automation.astro,,Tattoo Aftercare Email Automation for Busy Studios,1183,Y,Y
/blog/tattoo-aftercare-guide,/blog,aftercare,src/pages/blog/tattoo-aftercare-guide.astro,,"Complete Tattoo Aftercare Guide — Healing, Products &amp; Tips",1204,Y,Y
/blog/tattoo-inventory-guide,/blog,(未归类),src/pages/blog/tattoo-inventory-guide.astro,,Tattoo Shop Inventory Management Guide,1091,Y,Y
/blog/topic/aftercare,/blog/topic,aftercare,src/pages/blog/topic/aftercare.astro,,Tattoo Aftercare — Complete Resource Collection,228,,
/book/[city],/book,(未归类),src/pages/book/[city].astro,,,280,Y,Y
/business/tattoo-studio-software,/business,(未归类),src/pages/business/tattoo-studio-software.astro,,Tattoo Studio Software — All-in-One Management for Tattoo Shops,1841,Y,Y
/compare/best-tattoo-studio-software,/compare,(未归类),src/pages/compare/best-tattoo-studio-software.astro,,Best Tattoo Studio Software 2026,273,Y,Y
/compare/best-tattoo-waiver-app,/compare,(未归类),src/pages/compare/best-tattoo-waiver-app.astro,,Best Tattoo Waiver App for iPad,634,Y,Y
/compare/booksy,/compare,color,src/pages/compare/booksy.astro,,InkFlow vs Booksy for Tattoo Studios,626,Y,Y
/compare/mindbody,/compare,color,src/pages/compare/mindbody.astro,,InkFlow vs Mindbody for Tattoo Studios (2026),666,Y,Y
/compare/square-appointments,/compare,color,src/pages/compare/square-appointments.astro,,InkFlow vs Square Appointments for Tattoo Studios (2026),720,Y,Y
/compare/tattoo-studio-pro,/compare,color,src/pages/compare/tattoo-studio-pro.astro,,InkFlow vs Tattoo Studio Pro (2026),725,Y,Y
/compare/tattoogenda,/compare,color,src/pages/compare/tattoogenda.astro,,InkFlow vs Tattoogenda (2026),707,Y,Y
/compare/vagaro,/compare,color,src/pages/compare/vagaro.astro,,InkFlow vs Vagaro for Tattoo Studios (2026),820,Y,Y
/features,/features,(未归类),src/pages/features/index.astro,Smart Booking,Everything You Need to Run Your Studio,73,,
/features/free-tattoo-website,/features,(未归类),src/pages/features/free-tattoo-website.astro,,Free Tattoo Shop Website + Short Link for Your Bio,1103,Y,Y
/features/tattoo-aftercare-software-automation,/features,aftercare,src/pages/features/tattoo-aftercare-software-automation.astro,,Tattoo Aftercare Automation: 40% More Healed Photos on Autopilot,1058,Y,Y
/features/tattoo-booking-page,/features,(未归类),src/pages/features/tattoo-booking-page.astro,,Tattoo Artist Booking Page: Free Booking Link for Your Studio,785,Y,Y
/features/tattoo-booking-software,/features,(未归类),src/pages/features/tattoo-booking-software.astro,,Tattoo Booking Software: Cut No-Shows by 80% with Deposits,1239,Y,Y
/features/tattoo-client-portal,/features,(未归类),src/pages/features/tattoo-client-portal.astro,,"Tattoo Client Portal: Appointments, Waivers &amp; History in One Place",500,Y,Y
/features/tattoo-competitor-intelligence,/features,cost,src/pages/features/tattoo-competitor-intelligence.astro,,"Competitor Intelligence: Track Local Studios, Pricing &amp; Trends",730,Y,Y
/features/tattoo-compliance-software,/features,aftercare,src/pages/features/tattoo-compliance-software.astro,,Tattoo Health Compliance: Stay Inspection-Ready with Digital Checklist,485,Y,Y
/features/tattoo-crm-software,/features,(未归类),src/pages/features/tattoo-crm-software.astro,,Tattoo CRM Software: Full Client History Without Spreadsheets,1079,Y,Y
/features/tattoo-ink-passport,/features,color,src/pages/features/tattoo-ink-passport.astro,,Ink Passport: Digital Ink Records for EU REACH Compliance,1423,Y,Y
/features/tattoo-inventory-management,/features,cost,src/pages/features/tattoo-inventory-management.astro,,Tattoo Shop Inventory Management: Track Supplies &amp; Cost Per Sessio,568,Y,Y
/features/tattoo-marketing-automation,/features,(未归类),src/pages/features/tattoo-marketing-automation.astro,,"Tattoo Marketing Automation: Auto Reviews, Referrals & Lead Capture",1025,Y,Y
/features/tattoo-payment-processing,/features,(未归类),src/pages/features/tattoo-payment-processing.astro,,"Tattoo Payment Processing: Deposits, Payments, Commissions in One Plac",1057,Y,Y
/features/tattoo-referral-program,/features,(未归类),src/pages/features/tattoo-referral-program.astro,,Referral Program for Tattoo Studios: Automated Tracking &amp; Rewards,465,Y,Y
/features/tattoo-studio-analytics,/features,(未归类),src/pages/features/tattoo-studio-analytics.astro,,"Tattoo Studio Analytics: Revenue, Bookings &amp; Performance Dashboard",458,Y,Y
/features/tattoo-supply-brands,/features,(未归类),src/pages/features/tattoo-supply-brands.astro,,Tattoo Supply Brands Directory: Find &amp; Compare Suppliers,449,Y,Y
/features/tattoo-waiver-software,/features,(未归类),src/pages/features/tattoo-waiver-software.astro,,Digital Tattoo Waiver Software: Paperless Consent in One Day,1263,Y,Y
/free-tools/aftercare-email-generator,/free-tools,aftercare,src/pages/free-tools/aftercare-email-generator.astro,,Tattoo Aftercare Email Template Generator,616,Y,Y
/free-tools/free-waiver-generator,/free-tools,(未归类),src/pages/free-tools/free-waiver-generator.astro,,Free Tattoo Consent Form Generator,376,Y,Y
/free-tools/no-show-calculator,/free-tools,cost,src/pages/free-tools/no-show-calculator.astro,,Tattoo No-Show Cost Calculator,180,Y,Y
/free-tools/tattoo-meaning-finder,/free-tools,ideas,src/pages/free-tools/tattoo-meaning-finder.astro,,Tattoo Meaning Finder,259,Y,Y
/free-tools/tattoo-price-calculator,/free-tools,cost,src/pages/free-tools/tattoo-price-calculator.astro,,Tattoo Price Calculator,352,Y,Y
/free-tools/commission-calculator,/free-tools/commission-calculator,(未归类),src/pages/free-tools/commission-calculator/index.astro,,Tattoo Artist Commission Calculator,628,Y,Y
/meaning,/meaning,ideas,src/pages/meaning/index.astro,,Tattoo Meanings Directory,56,Y,Y
/meaning/[symbol],/meaning,ideas,src/pages/meaning/[symbol].astro,,Tattoo Meaning,164,Y,Y
/meaning/style-guide,/meaning,ideas,src/pages/meaning/style-guide.astro,,Tattoo Color &amp; Style Meaning Guide,152,,Y
/meaning/category/[category],/meaning/category,ideas,src/pages/meaning/category/[category].astro,,,120,Y,Y
/templates,/templates,(未归类),src/pages/templates/index.astro,,41 Stunning Templates for Your Studio,94,,
